,ACHADO,TIPO_ACHADO
17335,Fiscalização ou supervisão deficiente ou omissa.,Fiscalização contratual inexistente ou deficiente
7768,Licitação de obras sem previsão orçamentária ou com previsão insuficiente ou ilimitada.,Dotação orçamentária incompatível com a execução do objeto
11351,Ausência de cadastramento de contrato no SIASG.,"Ausência de formalização, publicidade e/ou transparência do contrato"
9139,Superfaturamento decorrente de preços excessivos frente ao mercado.,Superfaturamento
12163,A sinalização não atende às exigências normativas.,"Projeto inexistente, deficiente ou desatualizado"
7129,Restrição à competitividade da licitação decorrente de adoção indevida de pré-qualificação.,Restrição à competitividade do certame
10000,Orçamento do Edital / Contrato / Aditivo incompleto ou inadequado.,Falha na composição dos custos expressos na planilha orçamentária
15868,Superfaturamento decorrente de preços excessivos frente ao mercado.,Superfaturamento
12752,Descumprimento de determinação exarada pelo TCU.,Descumprimento de determinação do TCU
9575,Ausência de licenças ambientais de âmbito estadual e local.,"Ausência de licenças e autorizações necessárias à licitação, contratação, execução da obra ou funcionamento do empreendimento"
22008,"Não aderência do procedimento de análise por amostragem da metodologia Ancine+Simples ao princípio constitucional da prestação de contas, por ter natureza meramente declaratória.",Ausência ou inadequação das prestações de contas do convênio
21143,Ausência de cadastramento de contrato no SIASG.,"Ausência de formalização, publicidade e/ou transparência do contrato"
11354,Inclusão inadequada de itens na composição do BDI.,Falha na composição dos custos expressos na planilha orçamentária
8250,"Ausência de licitação autônoma para aquisição de equipamentos, embora técnica e economicamente recomendável.",Restrição à competitividade do certame
14063,Utilização de métodos construtivos não homologados e/ou previstos em normas técnicas.,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
7961,"Ausência de parcelamento do objeto, embora técnica e economicamente recomendável.",Restrição à competitividade do certame
16154,Proposta contratada não apresenta todos os itens exigidos pelo instrumento convocatório.,Julgamento em desconformidade com o edital e com a legislação (habilitação e propostas)
16997,Execução de serviços com qualidade deficiente.,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
22648,Descompasso entre cronograma físico-financeiro e dotação orçamentária,Dotação orçamentária incompatível com a execução do objeto
13004,Os desembolsos dos recursos referentes ao convênio não têm conformidade com o Plano de Trabalho correspondente.,Irregularidades na execução do convênio
22580,Deficiências no memorial do quantitativo,"Projeto inexistente, deficiente ou desatualizado"
7648,"Desvio de objeto na execução do convênio (ou instrumento congênere), importando  transferência de recursos de uma categoria de programação para outra.",Irregularidades na execução do convênio
18405,Sobrepreço decorrente de quantitativo inadequado.,Sobrepreço
9416,Restrição à competitividade da licitação decorrente de critérios inadequados de habilitação e julgamento.,Restrição à competitividade do certame
20724,Existência de atrasos que podem comprometer o prazo de entrega do empreendimento.,Descumprimento do cronograma físico-financeiro do objeto
16689,"Descumprimento do princípio orçamentário da legalidade no ano de 2012, bem como a assunção de despesa em 2012 sem lastro no planejamento orçamentário e financeiro para o ano de 2013, com prejuízos ao erário",Dotação orçamentária incompatível com a execução do objeto
8999,Julgamento irregular de recursos interpostos durante a licitação.,Julgamento em desconformidade com o edital e com a legislação (habilitação e propostas)
21148,Sobrepreço do contrato em virtude dos preços pactuados serem além dos de mercado,Sobrepreço
5957,Medição/ pagamento de serviços não realizados - Pagamentos por serviços não executados.,Superfaturamento
11695,O valor do convênio não cobre as despesas relativas à obra licitada ou é superior às despesas efetivas relacionadas à obra licitada.,Irregularidades na fase de proposição
7414,O orçamento não é acompanhado das composições de todos os custos unitários de seus serviços no Edital / Contrato / Aditivo.,Falha na composição dos custos expressos na planilha orçamentária
10132,Obra licitada sem Licença Prévia.,"Ausência de licenças e autorizações necessárias à licitação, contratação, execução da obra ou funcionamento do empreendimento"
5202,Irregularidade grave na execução do convênio - Os desembolsos dos recursos referentes ao convênio ocorreram desconforme previsto no Plano de Trabalho correspondente.,Irregularidades na execução do convênio
21179,Superfaturamento decorrente de preços excessivos frente ao mercado.,Superfaturamento
20955,Sobrepreço decorrente de quantitativo inadequado.,Sobrepreço
8581,Pagamento por serviços não previstos contratualmente.,Liquidação e/ou pagamento irregular da despesa
6147,Ausência de cadastramento de contrato ou convênio no SIASG - Contrato não cadastrado no SIASG.,"Ausência de formalização, publicidade e/ou transparência do contrato"
22220,Pré-contrato sem justificativa da escolha da empresa,Contratação direta indevida ou não justificada
7877,Inclusão inadequada de itens na composição do BDI.,Falha na composição dos custos expressos na planilha orçamentária
22742,Execução física incompatível com o valor liberado para obras objeto de transferências da Funasa-PI,Irregularidades na execução do convênio
20627,Sobrepreço decorrente de quantitativo inadequado nos serviços de transporte de água.,Sobrepreço
21057,Pagamento de tributos (ISS) em desacordo com os percentuais previstos no BDI da contratada.,Liquidação e/ou pagamento irregular da despesa
11586,Inviabilidade econômico-financeira decorrente de alterações do custo total do empreendimento.,Inviabilidade do projeto
14811,"Ausência de parcelamento do objeto, embora técnica e economicamente recomendável.",Restrição à competitividade do certame
12065,Inadequação ou inexistência dos critérios de aceitabilidade de preços unitário e global.,Irregularidades na elaboração do ato convocatório
19437,Gestão Fraudulenta de Contrato,Atraso ou paralisação da obra por ação ou omissão do gestor
17587,Julgamento da fase de habilitação em desacordo com os critérios do edital ou da legislação.,Julgamento em desconformidade com o edital e com a legislação (habilitação e propostas)
15234,Projeto executivo deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
7858,Liquidação irregular da despesa.,Liquidação e/ou pagamento irregular da despesa
7259,Cláusulas contratuais em desacordo com os preceitos da Lei 8.666/93.,Cláusulas essenciais imprecisas ou ausentes
13654,Descumprimento de determinação exarada pelo TCU.,Descumprimento de determinação do TCU
20964,ACHADO 5 - Celebração de convênio sem submissão ao plenário.,Irregularidades na formalização do convênio
8431,Obra em andamento com Licença Prévia ou de Instalação vencidas.,"Ausência de licenças e autorizações necessárias à licitação, contratação, execução da obra ou funcionamento do empreendimento"
9876,Cláusulas contratuais em desacordo com os preceitos da Lei 8.666/93.,Cláusulas essenciais imprecisas ou ausentes
13888,Liquidação irregular da despesa.,Liquidação e/ou pagamento irregular da despesa
22144,Fiscalização deficiente,Fiscalização contratual inexistente ou deficiente
18506,Não comprovação da execução dos serviços contratados.,Liquidação e/ou pagamento irregular da despesa
23006,Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
15486,Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
7982,Movimentação irregular da conta específica do convênio.,Irregularidades na execução do convênio
15200,Execução de serviços com qualidade deficiente.,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
7174,Superfaturamento decorrente de quantitativo inadequado.,Superfaturamento
22392,Dano ao erário na execução do Contrato DIPRE/39.2016,Outras irregularidades na execução do contrato
5698,"Irregularidade graves concernentes ao aspecto ambiental - Inexistência de EIA / RIMA aprovado pelo órgão ambiental, quando estes são necessários à obra.","Ausência de licenças e autorizações necessárias à licitação, contratação, execução da obra ou funcionamento do empreendimento"
11378,Restrição à competitividade da licitação decorrente de critérios inadequados de habilitação e julgamento.,Restrição à competitividade do certame
17952,Projeto executivo sem aprovação pela autoridade competente.,Ausência de aprovação do projeto pela autoridade competente
8925,Orçamento do Edital / Contrato / Aditivo incompleto ou inadequado.,Falha na composição dos custos expressos na planilha orçamentária
21199,Restrição à competitividade da licitação decorrente de adoção indevida de pré-qualificação e de critérios inadequados de habilitação e julgamento.,Restrição à competitividade do certame
7122,Superfaturamento decorrente de preços excessivos frente ao mercado.,Superfaturamento
10168,Execução de serviços com qualidade deficiente.,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
20140,Atraso na execução das obras decorrente de problemas na obtenção do licenciamento ambiental.,Atraso ou paralisação da obra por ação ou omissão do gestor
8146,Pagamento por serviços não previstos contratualmente.,Liquidação e/ou pagamento irregular da despesa
9155,Impropriedades na execução do convênio,Irregularidades na execução do convênio
9109,Inadequação ou inexistência dos critérios de aceitabilidade de preços unitário e global.,Irregularidades na elaboração do ato convocatório
21013,Deficiência na gestão da execução da obra do Lote 5SA,Descumprimento do cronograma físico-financeiro do objeto
17404,Impropriedades na execução do convênio,Irregularidades na execução do convênio
15520,Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
21614,Alteração no convênio sem a correspondente celebração de aditivo,Irregularidades na execução do convênio
6638,Falhas relativas à publicidade do edital de licitação.,Irregularidades na condução do procedimento licitatório
8870,Impropriedades na execução do convênio,Irregularidades na execução do convênio
6170,Demais falhas na execução do convênio,Irregularidades na execução do convênio
14091,Projeto básico/executivo sub ou superdimensionado.,"Projeto inexistente, deficiente ou desatualizado"
13881,Liquidação irregular da despesa.,Liquidação e/ou pagamento irregular da despesa
20103,A CBT não dispõe de regulamento próprio para a seleção de pessoal,Deficiência ou ausência do acompanhamento e fiscalização pelo órgão concedente
19269,Projeto básico deficiente,"Projeto inexistente, deficiente ou desatualizado"
14452,Adoção de regime de execução contratual inadequado ou antieconômico,"Adoção de tipo, regime ou modalidade de licitação indevidos"
5177,Superfaturamento - Superfaturamento decorrente de BDI excessivo.,Superfaturamento
7189,Superfaturamento decorrente de pagamento por serviço não executado.,Superfaturamento
13565,Adiantamento de pagamento sem a apresentação das garantias contratuais.,Garantia contratual inexistente
14682,Execução de serviços com qualidade deficiente.,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
9095,Termo aditivo assinado após o término da vigência do contrato.,"Aditivos irregulares, injustificados ou não celebrados"
11805,Inadequação das providências adotadas pela Administração para sanar interferências que possam provocar o atraso da obra.,Atraso ou paralisação da obra por ação ou omissão do gestor
14118,Ausência de ART do projeto executivo.,Ausência de ART do projeto
7978,Restrição à competitividade da licitação decorrente de critérios inadequados de habilitação e julgamento.,Restrição à competitividade do certame
5573,Ausência de licenças ambientais de âmbito estadual e local.,"Ausência de licenças e autorizações necessárias à licitação, contratação, execução da obra ou funcionamento do empreendimento"
17902,Ausência de termo aditivo formalizando alterações das condições inicialmente pactuadas.,"Aditivos irregulares, injustificados ou não celebrados"
14150,"Perda potencial ou efetiva de serviços realizados, em face da não execução concomitante de serviços essenciais à integridade da obra.",Outras irregularidades na execução do contrato
19943,Aportes financeiros feitos pelo FNDE com valores ou periodicidades irregulares a tal ponto de comprometer a conclusão dos empreendimentos.,Irregularidades na execução do convênio
10927,Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
16618,Falta de publicidade devida ao contrato/aditivo.,"Ausência de formalização, publicidade e/ou transparência do contrato"
9833,O valor do convênio não cobre as despesas relativas à obra licitada ou é superior às despesas efetivas relacionadas à obra licitada.,Irregularidades na fase de proposição
7926,Liquidação irregular da despesa.,Liquidação e/ou pagamento irregular da despesa
21465,Acréscimos ou supressões em percentual superior ao legalmente permitido.,"Aditivos irregulares, injustificados ou não celebrados"
7279,Critério de medição inadequado ou incompatível com o objeto real pretendido.,Cláusulas essenciais imprecisas ou ausentes
22878,"Execução de serviços em desconformidade com as especificações, projetos e o contrato.",Outras irregularidades na execução do contrato
7404,Impropriedades na execução do convênio,Irregularidades na execução do convênio
18685,A obra paralisada está sendo deteriorada por intempéries ou por vandalismo.,Atraso ou paralisação da obra por ação ou omissão do gestor
5588,Superfaturamento - Superfaturamento decorrente de jogo de planilha.,Superfaturamento
15992,Fiscalização ou supervisão deficiente ou omissa.,Fiscalização contratual inexistente ou deficiente
9369,Descumprimento de determinação exarada pelo TCU.,Descumprimento de determinação do TCU
20512,A distância média de transporte de material de base e sub-base superior à necessária nos Contratos de Repasses 785589/2013 e 785628/2013  Utilização de jazida mais distante havendo outras mais próximas.,Fiscalização contratual inexistente ou deficiente
9101,Existência de atrasos injustificáveis nas obras e serviços.,Descumprimento do cronograma físico-financeiro do objeto
19635,Irregularidades na execução do Termo de Compromisso 1.115/2012-00.,Irregularidades na execução do convênio
10999,Ausência de termo aditivo formalizando alterações das condições inicialmente pactuadas.,"Aditivos irregulares, injustificados ou não celebrados"
9599,Projeto básico/executivo sub ou superdimensionado.,"Projeto inexistente, deficiente ou desatualizado"
23055,Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
22880,Fragilidades nas ações efetivadas pela Administração na gestão ambiental da obra.,"Ausência de licenças e autorizações necessárias à licitação, contratação, execução da obra ou funcionamento do empreendimento"
7445,Utilização de equipamentos incompatíveis com as especificações técnicas dos serviços contratados.,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
15326,Projeto executivo deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
14281,Fiscalização deficiente da execução do convênio.,Deficiência ou ausência do acompanhamento e fiscalização pelo órgão concedente
12991,Execução de serviços com qualidade deficiente.,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
20572,Indícios coincidentes de irregularidades com superfaturamento (quantidade e valor).,Liquidação e/ou pagamento irregular da despesa
18755,UNA - A.11.A - Veículos terrestres não adequados ao transporte escolar ou sem condições gerais de trafegabilidade.,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
15097,Descumprimento de determinação exarada pelo TCU.,Descumprimento de determinação do TCU
22398,Inexistência de auditor/unidade de auditoria interna ou setor responsável por suas atribuições.,Gestão temerária
17528,Acréscimos ou supressões em percentual superior ao legalmente permitido.,"Aditivos irregulares, injustificados ou não celebrados"
7960,Sobrepreço decorrente de BDI excessivo.,Sobrepreço
7996,Reajuste em desacordo com o contrato.,"Aditivos irregulares, injustificados ou não celebrados"
14582,Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
22874,Ausência de efetividade das ações promovidas pela Administração para solucionar questões relativas a remoções de interferências e desapropriações,Atraso ou paralisação da obra por ação ou omissão do gestor
15952,Restrição à competitividade da licitação decorrente de critérios inadequados de habilitação e julgamento.,Restrição à competitividade do certame
7212,Itens instalação/manutenção de canteiros e mobilização/desmobilização não se encontram detalhados no custo direto da obra.,Falha na composição dos custos expressos na planilha orçamentária
9145,Subcontratação irregular.,Subcontratação ou subrrogação irregular
10625,Prorrogação injustificada de prazo contratual.,"Aditivos irregulares, injustificados ou não celebrados"
22744,Execução de serviços de reabililtação da rodovia com qualidade deficiente.,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
22885,Licitação de obras com previsão orçamentária insuficiente.,Dotação orçamentária incompatível com a execução do objeto
23060,Gestão temerária na aprovação da Fase II da Rnest ,Gestão temerária
18266,Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
21965,Ausência ou inadequação de providências para retomar obra paralisada.,Atraso ou paralisação da obra por ação ou omissão do gestor
21883,Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
22324,Execução de serviços com qualidade deficiente.,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
19037,"Ausência de identificação, análise e tratamento específico de trechos concentradores de acidentes.",Outras irregularidades na execução do contrato
9343,"Retenção/pagamento de tributos (contribuição previdênciária, IR, ISS, etc.) em desacordo com os percentuais previstos no BDI da contratada ou na legislação vigente.",Liquidação e/ou pagamento irregular da despesa
12381,Projeto executivo deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
12058,Deficiência na apresentação das informações constantes da planilha orçamentária do Edital / Contrato / Aditivo.,Falha na composição dos custos expressos na planilha orçamentária
21142,Orçamento do Edital / Contrato / Aditivo incompleto ou inadequado.,Falha na composição dos custos expressos na planilha orçamentária
21123,A fiscalização dos convênios não cumpre todas as exigências da Portaria Interministerial CGU/MF/MP Nº 507/2011 e da Portaria Sesai Nº 15/2014,Deficiência ou ausência do acompanhamento e fiscalização pelo órgão concedente
10083,Superfaturamento decorrente de quantitativo inadequado.,Superfaturamento
15421,Sobrepreço decorrente de itens considerados em duplicidade.,Sobrepreço
14221,Projeto executivo deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
14768,A obra paralisada está sendo deteriorada por intempéries ou por vandalismo.,Atraso ou paralisação da obra por ação ou omissão do gestor
9856,Ausência de ART do projeto básico.,Ausência de ART do projeto
20850,Frustração ao caráter competitivo do certame por violação ao princípio da isonomia entre os licitantes.,Restrição à competitividade do certame
16505,Liquidação irregular da despesa.,Liquidação e/ou pagamento irregular da despesa
12849,Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
8217,O aditivo ao convênio não foi devidamente justificado.,Irregularidades na formalização do convênio
22205,Gestão temerária na aprovação da Fase III da Rnest ,Gestão temerária
10644,Fiscalização ou supervisão deficiente ou omissa.,Fiscalização contratual inexistente ou deficiente
23181,Atrasos decorrentes de insuficiência de recursos financeiros para a quitação dos compromissos assumidos.,Descumprimento do cronograma físico-financeiro do objeto
20039,Superfaturamento decorrente de preços excessivos frente ao mercado.,Superfaturamento
9519,"Retenção/pagamento de tributos (contribuição previdênciária, IR, ISS, etc.) em desacordo com os percentuais previstos no BDI da contratada ou na legislação vigente.",Liquidação e/ou pagamento irregular da despesa
18900,Restrição à competitividade da licitação decorrente de critérios inadequados de habilitação e julgamento.,Restrição à competitividade do certame
23237,Pagamentos de meia diária aos conselheiros residentes em Campo Grande em razão de participação em reuniões do Conselho ocorridas no mesmo município. ,Gestão temerária
6774,Ausência de cadastramento de contrato no SIASG.,"Ausência de formalização, publicidade e/ou transparência do contrato"
7239,Julgamento da fase de habilitação em desacordo com os critérios do edital ou da legislação.,Julgamento em desconformidade com o edital e com a legislação (habilitação e propostas)
9854,"Retenção/pagamento de tributos (contribuição previdenciária, IR, ISS, etc.) em desacordo com os percentuais previstos no BDI da contratada ou na legislação vigente.",Liquidação e/ou pagamento irregular da despesa
