ACHADO,TIPO_ACHADO
Ausência de licenças ambientais de âmbito estadual e local.,"Ausência de licenças e autorizações necessárias à licitação, contratação, execução da obra ou funcionamento do empreendimento"
Obra licitada sem Licença Prévia.,"Ausência de licenças e autorizações necessárias à licitação, contratação, execução da obra ou funcionamento do empreendimento"
Ausência de cadastramento de contrato no SIASG.,"Ausência de formalização, publicidade e/ou transparência do contrato"
Projeto executivo deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Sobrepreço decorrente de itens considerados em duplicidade.,Sobrepreço
Os desembolsos dos recursos referentes ao convênio não têm conformidade com o Plano de Trabalho correspondente.,Irregularidades na execução do convênio
Superfaturamento decorrente de preços excessivos frente ao mercado.,Superfaturamento
Deficiências na garantia de execução do contrato,Garantia contratual inexistente
Medições e pagamentos executados com critérios divergentes dos estipulados no edital e no contrato.,Liquidação e/ou pagamento irregular da despesa
Falhas em procedimentos licitatórios,Irregularidades na elaboração do ato convocatório
UNA - A.7 - Desvio de finalidade no uso dos veículos destinados ao transporte escolar.,Outras irregularidades na execução do contrato
Adoção de solução antieconômica para as fundações no anteprojeto licitado ,Irregularidades na condução do procedimento licitatório
Contratação direta emergencial indevida,Outras irregularidades na execução do contrato
Superfaturamento decorrente de inclusão inadequada de novos serviços.,Superfaturamento
Sobrepreço,Sobrepreço
Anteprojeto de engenharia deficiente e/ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Sobrepreço decorrente de itens considerados em duplicidade.,Sobrepreço
Superfaturamento decorrente de preços excessivos frente ao mercado.,Superfaturamento
Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
Falhas relativas à publicidade do edital de licitação.,Irregularidades na condução do procedimento licitatório
Subcontratação irregular.,Subcontratação ou subrrogação irregular
Deficiência na apresentação das informações constantes da planilha orçamentária do Edital / Contrato / Aditivo.,Falha na composição dos custos expressos na planilha orçamentária
Ausência ou inadequação das Prestações de Contas.,Ausência ou inadequação das prestações de contas do convênio
Sobrepreço decorrente de quantitativo inadequado.,Sobrepreço
Deficiência de planejamento estratégico e de gestão na área de publicidade.,"Projeto inexistente, deficiente ou desatualizado"
Ausência injustificada de alguma etapa do processo de titulação de territórios quilombolas.,Gestão temerária
Critério de medição inadequado ou incompatível com o objeto real pretendido.,Cláusulas essenciais imprecisas ou ausentes
Ausência de justificativa para a adoção do regime da contratação integrada do RDC.,"Adoção de tipo, regime ou modalidade de licitação indevidos"
Execução de serviços com qualidade deficiente.,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
Projeto básico aprovado não apresenta o orçamento detalhado do empreendimento,"Projeto inexistente, deficiente ou desatualizado"
Execução de serviços com qualidade deficiente.,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
"Q11 -  Siconv 804775 - Contratante não tomou providências cabíveis relativamente à utilização indevida de pregão presencial para aquisição de bem, já que não amparada em justificativa plausível demonstrando inviabilidade do pregão eletrônico",Irregularidades na execução do convênio
Descumprimento de determinação exarada pelo TCU.,Descumprimento de determinação do TCU
Projeto básico deficiente ou desatualizado,"Projeto inexistente, deficiente ou desatualizado"
Licitação realizada sem contemplar os requisitos mínimos exigidos pela Lei 8.666/93.,Irregularidades na condução do procedimento licitatório
As condicionantes da Licença de Instalação não estão sendo atendidas.,"Ausência de licenças e autorizações necessárias à licitação, contratação, execução da obra ou funcionamento do empreendimento"
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Obra licitada sem Licença Prévia.,"Ausência de licenças e autorizações necessárias à licitação, contratação, execução da obra ou funcionamento do empreendimento"
Fiscalização ou supervisão deficiente ou omissa.,Fiscalização contratual inexistente ou deficiente
Execução de serviços com qualidade deficiente.,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
O orçamento não é acompanhado das composições de todos os custos unitários de seus serviços no Edital / Contrato / Aditivo.,Falha na composição dos custos expressos na planilha orçamentária
Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
Edital não contempla os requisitos mínimos exigidos pela legislação do Regime Diferenciado de Contratação,Irregularidades na elaboração do ato convocatório
Execução de serviços com qualidade deficiente.,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
Falhas relativas à publicidade do edital de licitação.,Irregularidades na condução do procedimento licitatório
Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
Adiantamento de pagamentos.,Liquidação e/ou pagamento irregular da despesa
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Licitação sem projeto básico ou com projeto básico sem aprovação pela autoridade competente.,"Projeto inexistente, deficiente ou desatualizado"
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
O valor do convênio não cobre as despesas relativas à obra licitada ou é superior às despesas efetivas relacionadas à obra licitada.,Irregularidades na fase de proposição
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Execução de serviços com qualidade deficiente.,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
Execução de serviços com qualidade deficiente.,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
Fiscalização deficiente da execução do convênio.,Deficiência ou ausência do acompanhamento e fiscalização pelo órgão concedente
O orçamento não é acompanhado das composições de todos os custos unitários de seus serviços no Edital / Contrato / Aditivo.,Falha na composição dos custos expressos na planilha orçamentária
Falta de retenção da garantia prevista na Lei 8.666/93.,Garantia contratual inexistente
Superfaturamento decorrente de preços excessivos frente ao mercado.,Superfaturamento
"Acréscimos ao valor contratual superiores ao limite legal - Acréscimos e/ou supressões em percentual superior ao permitido pela Lei 8.666/93, art. 65, § 1º, conforme Acórdão 1.428/2003-TCU-Plenário e 2134/2006-TCU-Plenário.","Aditivos irregulares, injustificados ou não celebrados"
Licitação realizada sem contemplar os requisitos mínimos exigidos pela Lei 8.666/93.,Irregularidades na condução do procedimento licitatório
Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
Ausência ou inadequação das Prestações de Contas.,Ausência ou inadequação das prestações de contas do convênio
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
A sinalização não atende às exigências normativas.,"Projeto inexistente, deficiente ou desatualizado"
Existência de atrasos injustificáveis nas obras e serviços.,Descumprimento do cronograma físico-financeiro do objeto
Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
Ausência de aprovação do Projeto Básico pela CEF e o uso indevido de atividade de terceirização para análise técnica de engenharia naquela empresa pública,Deficiência ou ausência do acompanhamento e fiscalização pelo órgão concedente
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
O orçamento não é acompanhado das composições de todos os custos unitários de seus serviços no Edital / Contrato / Aditivo.,Falha na composição dos custos expressos na planilha orçamentária
Proposta contratada não apresenta todos os itens exigidos pelo instrumento convocatório.,Julgamento em desconformidade com o edital e com a legislação (habilitação e propostas)
Inclusão inadequada de itens na composição do BDI.,Falha na composição dos custos expressos na planilha orçamentária
Adiantamento de pagamentos.,Liquidação e/ou pagamento irregular da despesa
Deficiência na elaboração dos laudos de avaliação,Processo de desapropriação inexistente ou deficiente
"Superfaturamento - Superfaturamento decorrente de preços excessivos frente ao mercado (serviços, insumos e encargos).",Superfaturamento
Restrição à competitividade da licitação decorrente de critérios inadequados de habilitação e julgamento.,Restrição à competitividade do certame
Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
Superfaturamento por pagamento indevido de despesas relativas a atraso na execução da obra.,Superfaturamento
Objeto licitado incompatível com o PT utilizado.,Dotação orçamentária incompatível com a execução do objeto
Projeto executivo deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Plano de Negócios desatualizado,Inviabilidade do projeto
Ausência de termo aditivo formalizando alterações das condições inicialmente pactuadas.,"Aditivos irregulares, injustificados ou não celebrados"
"Retenção/pagamento de tributos (contribuição previdênciária, IR, ISS, etc.) em desacordo com os percentuais previstos no BDI da contratada ou na legislação vigente.",Liquidação e/ou pagamento irregular da despesa
Fiscalização ou supervisão deficiente ou omissa.,Fiscalização contratual inexistente ou deficiente
Ausência de ART do projeto básico.,Ausência de ART do projeto
Descumprimento de cláusulas contratuais.,Outras irregularidades na execução do contrato
Inexistência de auditor/unidade de auditoria interna ou setor responsável por suas atribuições.,Gestão temerária
Quantitativos inadequados na planilha orçamentária.,"Projeto inexistente, deficiente ou desatualizado"
Sobrepreço decorrente de inclusão inadequada de novos serviços.,Sobrepreço
Obra licitada sem Licença Prévia.,"Ausência de licenças e autorizações necessárias à licitação, contratação, execução da obra ou funcionamento do empreendimento"
Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
Pagamento por serviços não previstos contratualmente.,Liquidação e/ou pagamento irregular da despesa
"Q11 -  Siconv 802365 - Concedente não tomou providências cabíveis relativamente à utilização indevida de pregão presencial para aquisição de bem, já que não amparada em justificativa plausível demonstrando inviabilidade do pregão eletrônico",Irregularidades na execução do convênio
Irregularidades na execução do Contrato - Falta de retenção da garantia prevista na Lei 8.666/93.,Garantia contratual inexistente
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Execução de serviços com qualidade deficiente.,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
Descumprimento de cláusulas contratuais.,Outras irregularidades na execução do contrato
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Empreendimento em funcionamento sem a Licença de Operação.,"Ausência de licenças e autorizações necessárias à licitação, contratação, execução da obra ou funcionamento do empreendimento"
Ausência de termo aditivo formalizando alterações das condições inicialmente pactuadas.,"Aditivos irregulares, injustificados ou não celebrados"
Achado A.5. Existência de deficiências nos métodos de fiscalização contratual.,Fiscalização contratual inexistente ou deficiente
Licitação de obras sem previsão orçamentária ou com previsão insuficiente ou ilimitada.,Dotação orçamentária incompatível com a execução do objeto
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
"Desvio de objeto devido a alterações qualitativas (mudanças de projeto e de técnicas construtivas, modificações relevantes de materiais - tipo e qualidade).","Aditivos irregulares, injustificados ou não celebrados"
Inadequação das providências adotadas pela Administração para sanar interferências que possam provocar o atraso da obra.,Atraso ou paralisação da obra por ação ou omissão do gestor
Falta de exigência de garantia contratual.,Garantia contratual inexistente
Inadequação das providências adotadas pela Administração para sanar interferências que possam provocar o atraso da obra.,Atraso ou paralisação da obra por ação ou omissão do gestor
Não cumprimento dos prazos para apresentação do projeto executivo (180 dias).,Outras irregularidades na execução do contrato
Inobservância dos requisitos legais e técnicos de acessibilidade de pessoas portadoras de deficiência ou com mobilidade reduzida.,"Projeto inexistente, deficiente ou desatualizado"
Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
Projeto executivo deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Ausência de cadastramento de contrato no SIASG.,"Ausência de formalização, publicidade e/ou transparência do contrato"
Irregularidades na cessão de servidor público federal ao ISD,Irregularidades na formalização do convênio
Inviabilidade econômico-financeira decorrente de atrasos na implantação do empreendimento. ,Inviabilidade do projeto
Alteração injustificada de quantitativos.,"Aditivos irregulares, injustificados ou não celebrados"
Sobrepreço decorrente de itens considerados em duplicidade.,Sobrepreço
Projeto básico deficiente e desatualizado da dragagem,"Projeto inexistente, deficiente ou desatualizado"
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Irregularidades nos pagamentos de despesas administrativas e falta de transparência acerca dos recursos captados no COB e no CPB para despesas de manutenção.,Irregularidades na execução do convênio
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Licitação realizada sem contemplar os requisitos mínimos exigidos pela Lei 8.666/93.,Irregularidades na condução do procedimento licitatório
Medições indevidas dos serviços de manutenção,Liquidação e/ou pagamento irregular da despesa
"Perda potencial ou efetiva de serviços realizados, em face da não execução concomitante de serviços essenciais à integridade da obra.",Outras irregularidades na execução do contrato
Existência de atrasos que podem comprometer o prazo de entrega do empreendimento.,Descumprimento do cronograma físico-financeiro do objeto
Liquidação irregular da despesa.,Liquidação e/ou pagamento irregular da despesa
Realização de pagamento sem a existência de fato gerador da despesa,Liquidação e/ou pagamento irregular da despesa
Utilização de critérios de habilitação e julgamento inadequados que restringiram a competitividade da licitação.,Restrição à competitividade do certame
Itens instalação/manutenção de canteiros e mobilização/desmobilização não se encontram detalhados no custo direto da obra.,Falha na composição dos custos expressos na planilha orçamentária
Fiscalização deficiente da execução do convênio.,Deficiência ou ausência do acompanhamento e fiscalização pelo órgão concedente
As cláusulas presentes no contrato assinado não estão de acordo com aquelas que foram apresentadas na minuta de contrato presente no edital de licitação.,Divergência entre o contrato e o ato convocatório
Obra executada sem alvará de construção.,"Ausência de licenças e autorizações necessárias à licitação, contratação, execução da obra ou funcionamento do empreendimento"
"Pagamentos irregulares, por ausência/insuficiência de documentação comprobatória da execução de objetos/serviços contratados.",Liquidação e/ou pagamento irregular da despesa
"Atrasos nas entregas dos projetos básico e executivo, com o retardamento no início dos serviços de sinalização",Outras irregularidades na execução do contrato
Execução de serviços com qualidade deficiente.,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
Liquidação irregular da despesa.,Liquidação e/ou pagamento irregular da despesa
Sobrepreço decorrente de quantitativo inadequado.,Sobrepreço
Sobrepreço decorrente erro de cálculo na planilha orçamentária.,Sobrepreço
Descumprimento de determinação exarada pelo TCU.,Descumprimento de determinação do TCU
Gestão temerária de empreendimento.,Gestão temerária
Fiscalização ou supervisão deficiente ou omissa.,Fiscalização contratual inexistente ou deficiente
Ausência de cláusulas essenciais no termo de convênio celebrado.,Irregularidades na formalização do convênio
Deficiências na gestão dos empreendimentos,Gestão temerária
Acréscimos ou supressões em percentual superior ao legalmente permitido.,"Aditivos irregulares, injustificados ou não celebrados"
Projeto básico/executivo deficiente ou inexistente - Projeto executivo sem aprovação pela autoridade competente,Ausência de aprovação do projeto pela autoridade competente
Inclusão de parcela referente ao IRPJ e CSLL na composição do BDI ou na planilha de custo direto.,Falha na composição dos custos expressos na planilha orçamentária
Inobservância dos requisitos legais e técnicos de acessibilidade de pessoas portadoras de deficiência ou com mobilidade reduzida.,"Projeto inexistente, deficiente ou desatualizado"
Existência de atrasos que podem comprometer o prazo de entrega do empreendimento.,Descumprimento do cronograma físico-financeiro do objeto
Desorganização e inobservância dos procedimentos e rotinas estabelecidas para a entrega do leite nos centros de distribuição visitados.,Fiscalização contratual inexistente ou deficiente
Critério de reajuste inexistente ou inadequado.,Cláusulas essenciais imprecisas ou ausentes
Projeto executivo sem aprovação pela autoridade competente.,Ausência de aprovação do projeto pela autoridade competente
Principais causas de redução da taxa de rentabilidade dos investimentos do Sistema Eletrobras em SPEs,Gestão temerária
Ausência de cadastramento de contrato no SIASG.,"Ausência de formalização, publicidade e/ou transparência do contrato"
Intempestividade na instauração de processo administrativo para a apurar a responsabilidade pelos atrasos na entrega dos projetos básico e executivo,Descumprimento do cronograma físico-financeiro do objeto
Deficiências na especificação do planejamento da obra,"Projeto inexistente, deficiente ou desatualizado"
Ausência de cadastramento de contrato no SIASG.,"Ausência de formalização, publicidade e/ou transparência do contrato"
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Sobrepreço decorrente de quantitativo inadequado.,Sobrepreço
Descumprimento de cláusulas contratuais.,Outras irregularidades na execução do contrato
Pagamento por serviços não previstos contratualmente.,Liquidação e/ou pagamento irregular da despesa
Contratação não abrange a totalidade dos materiais necessários para plena funcionalidade do objeto ,"Projeto inexistente, deficiente ou desatualizado"
Falhas no Orçamento base da licitação,Metodologia inadequada para definição do orçamento do objeto
Fiscalização ou supervisão deficiente ou omissa.,Fiscalização contratual inexistente ou deficiente
"Sucessivos atrasos de cronograma, remanescendo pendências com desapropriações e interferências de redes elétricas",Descumprimento do cronograma físico-financeiro do objeto
Planejamento deficiente na escolha da solução técnica para o armazenamento de CNU a partir do esgotamento da capacidade das PCUs das Usinas de Angra 1 e 2,Ausência de estudos capazes de comprovar a viabilidade do projeto
055/2015 - Utilização de pregão presencial em detrimento do eletrônico,Irregularidades na elaboração do ato convocatório
Restrição à competitividade da licitação decorrente de critérios inadequados de habilitação e julgamento.,Restrição à competitividade do certame
Irregularidades na fase de proposição,Irregularidades na fase de proposição
Deficiência na apresentação das informações constantes da planilha orçamentária do Edital / Contrato / Aditivo.,Falha na composição dos custos expressos na planilha orçamentária
Risco de dano ao erário no encontro de contas resultante da impossibilidade da execução das garantias contratuais.,Liquidação e/ou pagamento irregular da despesa
Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
Execução/pagamento de serviços não previstos no contrato - Pagamento por serviços não previstos contratualmente.,Liquidação e/ou pagamento irregular da despesa
Riscos de atraso das obras e de ações judiciais por esbulho devido a falhas no processo de desapropriação.,Processo de desapropriação inexistente ou deficiente
Quantitativos inadequados na planilha orçamentária.,"Projeto inexistente, deficiente ou desatualizado"
Prorrogação de contratos vencidos.,Outras irregularidades na execução do contrato
Providências insuficientes para instauração de TCE,Deficiência ou ausência do acompanhamento e fiscalização pelo órgão concedente
"Ausência de parcelamento do objeto, embora técnica e economicamente recomendável.",Restrição à competitividade do certame
Superfaturamento decorrente de pagamento por serviço não executado.,Superfaturamento
Sobrepreço decorrente de quantitativo inadequado.,Sobrepreço
Superfaturamento decorrente de alteração da metodologia executiva. (III.5),Superfaturamento
Ausência de termo aditivo formalizando alterações das condições inicialmente pactuadas.,"Aditivos irregulares, injustificados ou não celebrados"
O orçamento não é acompanhado das composições de todos os custos unitários de seus serviços no Edital / Contrato / Aditivo.,Falha na composição dos custos expressos na planilha orçamentária
Medição/ pagamento de serviços não realizados - Pagamentos por serviços não executados.,Superfaturamento
Irregularidade grave na execução do convênio - Os desembolsos dos recursos referentes ao convênio ocorreram desconforme previsto no Plano de Trabalho correspondente.,Irregularidades na execução do convênio
"Desvio de objeto - alterações qualitativas (mudanças de projeto e de técnicas construtivas, modificações relevantes de materiais - tipo e qualidade)","Aditivos irregulares, injustificados ou não celebrados"
Base de cálculo do ISS sem as deduções previstas na legislação vigente,Irregularidades na condução do procedimento licitatório
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Acréscimos ou supressões em percentual superior ao legalmente permitido.,"Aditivos irregulares, injustificados ou não celebrados"
Adiantamento de pagamentos.,Liquidação e/ou pagamento irregular da despesa
Alteração injustificada de quantitativos.,"Aditivos irregulares, injustificados ou não celebrados"
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Orçamento do Edital / Contrato / Aditivo incompleto ou inadequado.,Falha na composição dos custos expressos na planilha orçamentária
"Formalização de termo aditivo objetivando o reequilíbrio econômico-financeiro do contrato, fora das hipóteses legais.","Aditivos irregulares, injustificados ou não celebrados"
Superfaturamento decorrente de pagamento por serviço não executado.,Superfaturamento
Ausência de cadastramento de contrato no SIASG.,"Ausência de formalização, publicidade e/ou transparência do contrato"
Liquidação irregular da despesa.,Liquidação e/ou pagamento irregular da despesa
Superfaturamento quantitativo (quantidade entregue/realizada inferior à quantidade contratada).,Liquidação e/ou pagamento irregular da despesa
Obra executada sem alvará de construção.,"Ausência de licenças e autorizações necessárias à licitação, contratação, execução da obra ou funcionamento do empreendimento"
Superfaturamento decorrente de pagamento por serviço não executado.,Superfaturamento
Execução de serviços com qualidade deficiente.,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
A obra paralisada está sendo deteriorada por intempéries ou por vandalismo.,Atraso ou paralisação da obra por ação ou omissão do gestor
Alteração injustificada de quantitativos. (III.3),"Aditivos irregulares, injustificados ou não celebrados"
Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
Modalidade indevida de licitação - Modalidade de Licitação Inadequada.,"Adoção de tipo, regime ou modalidade de licitação indevidos"
Fiscalização ou supervisão deficiente ou omissa.,Fiscalização contratual inexistente ou deficiente
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
O orçamento não é acompanhado das composições de todos os custos unitários de seus serviços no Edital / Contrato / Aditivo,Falha na composição dos custos expressos na planilha orçamentária
Orçamento do Edital / Contrato / Aditivo incompleto ou inadequado.,Falha na composição dos custos expressos na planilha orçamentária
Início de investimento com duração superior a um ano sem constar no Plano Plurianual.,Dotação orçamentária incompatível com a execução do objeto
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Descumprimento de cláusulas contratuais.,Outras irregularidades na execução do contrato
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Houve recebimento indevido da obra.,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
As condicionantes da Licença Prévia não estão sendo atendidas.,"Ausência de licenças e autorizações necessárias à licitação, contratação, execução da obra ou funcionamento do empreendimento"
"Sobrepreço - Sobrepreço decorrente de preços excessivos frente ao mercado (serviços, insumos e encargos).",Sobrepreço
Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
Adiantamento de pagamento sem a apresentação das garantias contratuais.,Garantia contratual inexistente
Irregularidades nas alterações contratuais,"Aditivos irregulares, injustificados ou não celebrados"
Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
Existências de atrasos que podem comprometer o prazo de entrega do empreendimento,Descumprimento do cronograma físico-financeiro do objeto
Projeto básico/executivo deficiente ou inexistente - Deficiência do projeto executivo ou projeto executivo desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Ausência de publicidade do requerimento da licença ambiental pelo empreendedor.,"Ausência de licenças e autorizações necessárias à licitação, contratação, execução da obra ou funcionamento do empreendimento"
Paralisação e diminuição do ritmo de execução das obras,Descumprimento do cronograma físico-financeiro do objeto
Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
Deficiência na apresentação das informações constantes da planilha orçamentária do Edital / Contrato / Aditivo.,Falha na composição dos custos expressos na planilha orçamentária
Superfaturamento decorrente de falhas na Revisão de Projeto em Fase de Obras,Superfaturamento
Execução de serviços com qualidade deficiente.,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
Ausência de cadastramento de contrato ou convênio no SIASG - Contrato não cadastrado no SIASG.,"Ausência de formalização, publicidade e/ou transparência do contrato"
BELMONTE - A.17 - Irregularidades nos procedimentos licitatórios/processos de contratação direta do transporte escolar.,"Adoção de tipo, regime ou modalidade de licitação indevidos"
Restrição à competitividade da licitação decorrente de critérios inadequados de habilitação e julgamento.,Restrição à competitividade do certame
Não comprovação da execução dos serviços contratados.,Liquidação e/ou pagamento irregular da despesa
Licitação realizada sem contemplar os requisitos mínimos exigidos pela Lei 8.666/93.,Irregularidades na condução do procedimento licitatório
O orçamento não é acompanhado das composições de todos os custos unitários de seus serviços no Edital / Contrato / Aditivo.,Falha na composição dos custos expressos na planilha orçamentária
Execução de serviços com qualidade deficiente.,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
Inadequação ou inexistência dos critérios de aceitabilidade de preços unitário e global.,Irregularidades na elaboração do ato convocatório
As condições de manutenção das barreiras/defensas existentes comprometem sua eficácia.,Ausência de condições adequadas de segurança das obras/rodovias
"Q11 -  Siconv 802190 - Concedente não tomou providências cabíveis relativamente à utilização indevida de pregão presencial para aquisição de bem, já que não amparada em justificativa plausível demonstrando inviabilidade do pregão eletrônico",Irregularidades na execução do convênio
Superfaturamento decorrente de preços excessivos frente ao mercado.,Superfaturamento
