ACHADO,TIPO_ACHADO
Julgamento da fase de habilitação em desacordo com os critérios do edital ou da legislação.,Julgamento em desconformidade com o edital e com a legislação (habilitação e propostas)
Impropriedades na execução do convênio,Irregularidades na execução do convênio
Irregularidade grave na execução do convênio - Fiscalização deficiente da execução do convênio.,Deficiência ou ausência do acompanhamento e fiscalização pelo órgão concedente
Ausência de ART do projeto básico.,Ausência de ART do projeto
Licitação realizada sem contemplar os requisitos mínimos exigidos pela Lei 8.666/93.,Irregularidades na condução do procedimento licitatório
As condicionantes da Licença Prévia não estão sendo atendidas.,"Ausência de licenças e autorizações necessárias à licitação, contratação, execução da obra ou funcionamento do empreendimento"
Critério de reajuste inexistente ou inadequado.,Cláusulas essenciais imprecisas ou ausentes
Ausência de termo aditivo formalizando alterações das condições inicialmente pactuadas.,"Aditivos irregulares, injustificados ou não celebrados"
Sobrepreço decorrente de quantitativo inadequado.,Sobrepreço
Fiscalização deficiente da execução do convênio.,Deficiência ou ausência do acompanhamento e fiscalização pelo órgão concedente
"Aplicação de recursos orçamentários em imóvel de entidade privada, sem que esteja assegurado o uso pelo poder público.",Irregularidades na execução do convênio
Avanço desproporcional das etapas de serviço.,Descumprimento do cronograma físico-financeiro do objeto
"Ausência de licitação autônoma para aquisição de equipamentos, embora técnica e economicamente recomendável.",Restrição à competitividade do certame
Projeto executivo deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Fiscalização ou supervisão deficiente ou omissa.,Fiscalização contratual inexistente ou deficiente
Projeto executivo deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Projeto executivo deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Desclassificação indevida de licitante,Restrição à competitividade do certame
Fiscalização ou supervisão deficiente ou omissa.,Fiscalização contratual inexistente ou deficiente
Fiscalização ou supervisão deficiente ou omissa.,Fiscalização contratual inexistente ou deficiente
Acréscimos ou supressões em percentual superior ao legalmente permitido.,"Aditivos irregulares, injustificados ou não celebrados"
Subcontratação irregular.,Subcontratação ou subrrogação irregular
Empreendimento em funcionamento sem a Licença de Operação.,"Ausência de licenças e autorizações necessárias à licitação, contratação, execução da obra ou funcionamento do empreendimento"
Orçamento do Edital / Contrato / Aditivo incompleto ou inadequado.,Falha na composição dos custos expressos na planilha orçamentária
"Retenção /pagamento de tributos (contribuição previdênciária, IR, ISS, etc.) em desacordo com os percentuais previstos no LDI da contratada e/ou na legislação vigente.",Liquidação e/ou pagamento irregular da despesa
Objeto do convênio/edital/contrato sem funcionalidade própria.,Inviabilidade do projeto
Critério de reajuste inexistente ou inadequado.,Cláusulas essenciais imprecisas ou ausentes
Execução de serviços com qualidade deficiente.,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
Contratação sem a realização de licitação prévia ou de procedimento de cotação prévia de preços.,Irregularidades na execução do convênio
O orçamento não é acompanhado das composições de todos os custos unitários de seus serviços no Edital / Contrato / Aditivo.,Falha na composição dos custos expressos na planilha orçamentária
"Formalização de termo aditivo sem a manutenção do desconto da proposta original, determinada pelo art. 14 do Decreto 7.983/2013","Aditivos irregulares, injustificados ou não celebrados"
Fiscalização ou supervisão deficiente ou omissa.,Fiscalização contratual inexistente ou deficiente
Orçamento do Edital / Contrato / Aditivo incompleto ou inadequado.,Falha na composição dos custos expressos na planilha orçamentária
Orçamento do Edital / Contrato / Aditivo incompleto ou inadequado.,Falha na composição dos custos expressos na planilha orçamentária
Projeto executivo deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
"Ausência de licitação autônoma para aquisição de equipamentos e/ou materiais, embora técnica e economicamente recomendável.",Restrição à competitividade do certame
Inclusão de parcela referente ao IRPJ e CSLL na composição do BDI ou na planilha de custo direto.,Falha na composição dos custos expressos na planilha orçamentária
"Ausência, no edital, de critério de aceitabilidade de preços máximos - Inadequação ou inexistência dos critérios de aceitabilidade de preços unitário e global.",Irregularidades na elaboração do ato convocatório
Superfaturamento por medição e pagamento de serviços desnecessários - Substituição de subleito,Liquidação e/ou pagamento irregular da despesa
"Falha formal em edital relativa a Exigência de comprovação de quadro permanente sem permitir contrato de prestação	de serviços (Itens 3.5.10 a 3.5.12 do relatório de acompanhamento)

",Restrição à competitividade do certame
Falta de publicidade devida ao contrato/aditivo.,"Ausência de formalização, publicidade e/ou transparência do contrato"
Adiantamento de pagamentos.,Liquidação e/ou pagamento irregular da despesa
A.2.5 - Critérios de habilitação com injustificada/ilegal restrição ao caráter competitivo,Julgamento em desconformidade com o edital e com a legislação (habilitação e propostas)
Projeto executivo deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Execução de obras em desacordo com o estabelecido no projeto,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
Licitação de obras sem previsão orçamentária ou com previsão insuficiente ou ilimitada.,Dotação orçamentária incompatível com a execução do objeto
Estudo de viabilidade técnica e econômico-financeira deficiente.,Ausência de estudos capazes de comprovar a viabilidade do projeto
Indicio de contratação de itens de serviços por preços inexequíveis.,Julgamento em desconformidade com o edital e com a legislação (habilitação e propostas)
Edital em desacordo com os preceitos da Lei 8.666/93,Falha na composição dos custos expressos na planilha orçamentária
Julgamento ou classificação das propostas em desacordo com os critérios do edital ou da legislação.,Julgamento em desconformidade com o edital e com a legislação (habilitação e propostas)
Ausência de termo aditivo formalizando alterações das condições inicialmente pactuadas.,"Aditivos irregulares, injustificados ou não celebrados"
Orçamento do Edital / Contrato / Aditivo incompleto ou inadequado.,Falha na composição dos custos expressos na planilha orçamentária
Licitação sem projeto básico ou com projeto básico sem aprovação pela autoridade competente.,"Projeto inexistente, deficiente ou desatualizado"
Superfaturamento decorrente de pagamento por serviço não executado.,Superfaturamento
Fragilidades nas ações efetivadas pela Administração na gestão ambiental da obra.,"Ausência de licenças e autorizações necessárias à licitação, contratação, execução da obra ou funcionamento do empreendimento"
Justificativa incipiente quanto à adoção de inexigibilidade de licitação (item 3.5.21 do relatório de acompanhamento),Restrição à competitividade do certame
Houve recebimento indevido da obra.,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
Fiscalização ou supervisão deficiente ou omissa.,Fiscalização contratual inexistente ou deficiente
"Pagamento sem verificação da regularidade fiscal-previdenciária da empresa Icaraí Turismo Táxi Aéreo Ltda, no bojo do contrato nº 9/2018 firmado com o DSEI-Yanomami",Fiscalização contratual inexistente ou deficiente
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Sobrepreço decorrente de inclusão inadequada de novos serviços.,Sobrepreço
Fiscalização ou supervisão deficiente ou omissa.,Fiscalização contratual inexistente ou deficiente
Descumprimento das normas de controle de qualidade dos alimentos adquiridos com recursos do Pnae (Camocim/CE) ,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
Fiscalização ou supervisão deficiente ou omissa.,Fiscalização contratual inexistente ou deficiente
Inadequação das providências adotadas pela Administração para sanar interferências que possam provocar o atraso da obra.,Atraso ou paralisação da obra por ação ou omissão do gestor
"A situação apresentada no relatório de fiscalização 141/2015, do processo TC 009.611/2015-0 persiste.",Descumprimento de determinação do TCU
Superfaturamento decorrente de jogo de planilha.,Superfaturamento
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Inclusão de parcela referente ao IRPJ e CSLL na composição do BDI ou na planilha de custo direto.,Falha na composição dos custos expressos na planilha orçamentária
Recebimento de Caminhões Contraincêndio em desacordo com as especificações editalícias ,Fiscalização contratual inexistente ou deficiente
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Restrição à competitividade da licitação decorrente de critérios inadequados de habilitação e julgamento.,Restrição à competitividade do certame
Superfaturamento decorrente de pagamento por serviço não executado.,Superfaturamento
A obra paralisada está sendo deteriorada por intempéries ou por vandalismo.,Ausência de condições adequadas de segurança das obras/rodovias
Orçamento do Edital / Contrato / Aditivo incompleto ou inadequado.,Falha na composição dos custos expressos na planilha orçamentária
Termo Aditivo indevidamente justificado,"Ausência de formalização, publicidade e/ou transparência do contrato"
A7.1  Pagamentos indevidos com recursos do SUS.,Irregularidades na execução do convênio
Morosidade na execução do convênio,Irregularidades na execução do convênio
Ausência ou inadequação de providências para retomar obra paralisada.,Atraso ou paralisação da obra por ação ou omissão do gestor
Os procedimentos empregados pela CBT não garantem que as passagens aéreas sejam adquiridas pelo menor preço,Outras irregularidades na execução do contrato
Fiscalização deficiente da execução do convênio.,Deficiência ou ausência do acompanhamento e fiscalização pelo órgão concedente
Execução de serviços com qualidade deficiente.,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
Atrasos na liberação de recursos.,Dotação orçamentária incompatível com a execução do objeto
Falta de definição precisa das condições de reajuste.,Cláusulas essenciais imprecisas ou ausentes
Descumprimento de determinação exarada pelo TCU.,Descumprimento de determinação do TCU
Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
Implantação de empreendimento sem realização de estudo de viabilidade técnica e econômico-financeira da obra.,Ausência de estudos capazes de comprovar a viabilidade do projeto
Adiantamento de pagamentos.,Liquidação e/ou pagamento irregular da despesa
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
As medidas corretivas necessárias para a retomada da obra paralisada (conforme acórdão do TCU) ainda não foram integralmente cumpridas pela administração.,Atraso ou paralisação da obra por ação ou omissão do gestor
Projeto executivo de obras complementares e de concepção das passarelas em desconformidade com as premissas do instrumento convocatório,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
Sobrepreço e superfaturamento decorrente de preços excessivos frente ao mercado e duplicidade,Sobrepreço
Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
Inobservância dos requisitos legais e técnicos de acessibilidade de pessoas com deficiência ou com mobilidade reduzida.,"Projeto inexistente, deficiente ou desatualizado"
Frustração ao caráter competitivo do certame por violação ao princípio da isonomia entre os licitantes.,Restrição à competitividade do certame
Ausência de ART do projeto básico.,Ausência de ART do projeto
"Desvio de objeto devido a alterações qualitativas (mudanças de projeto e de técnicas construtivas, modificações relevantes de materiais - tipo e qualidade).","Aditivos irregulares, injustificados ou não celebrados"
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Projeto básico/executivo deficiente ou inexistente - Deficiência do projeto executivo ou projeto executivo desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
"Retenção/pagamento de tributos (contribuição previdenciária, IR, ISS, etc.) em desacordo com os percentuais previstos no BDI da contratada ou na legislação vigente.",Liquidação e/ou pagamento irregular da despesa
Licitação realizada sem contemplar os requisitos mínimos exigidos pela Lei 8.666/93.,Irregularidades na condução do procedimento licitatório
Falta de transparência na divulgação de dados relativos ao Comperj.,Gestão temerária
Adiantamento de pagamento sem a apresentação das garantias contratuais.,Garantia contratual inexistente
Existência de atrasos injustificáveis nas obras e serviços.,Descumprimento do cronograma físico-financeiro do objeto
Falta de definição precisa das condições de reajuste.,Cláusulas essenciais imprecisas ou ausentes
Ausência de termo aditivo formalizando alterações das condições inicialmente pactuadas.,"Aditivos irregulares, injustificados ou não celebrados"
Inadequação ou inexistência dos critérios de aceitabilidade de preços unitário e global.,Irregularidades na elaboração do ato convocatório
Restrição à competitividade da licitação decorrente de critérios inadequados de habilitação e julgamento.,Restrição à competitividade do certame
Descumprimento de determinação exarada pelo TCU.,Descumprimento de determinação do TCU
Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
Execução de serviços com qualidade deficiente.,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
Inobservância dos requisitos legais e técnicos de acessibilidade de pessoas portadoras de deficiência ou com mobilidade reduzida.,"Projeto inexistente, deficiente ou desatualizado"
Sobrepreço decorrente de quantitativo inadequado.,Sobrepreço
Estudos de estabilidade baseados em amostragem não conforme ao descrito no normativo ABNT NBR 7680:2007,Gestão temerária
Ausência de termo aditivo formalizando alterações das condições inicialmente pactuadas.,"Aditivos irregulares, injustificados ou não celebrados"
"Desvio de objeto devido a alterações qualitativas (mudanças de projeto e de técnicas construtivas, modificações relevantes de materiais - tipo e qualidade).","Aditivos irregulares, injustificados ou não celebrados"
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
Inadequação ou inexistência dos critérios de aceitabilidade de preços unitário e global.,Irregularidades na elaboração do ato convocatório
Superfaturamento decorrente de quantitativo inadequado.,Superfaturamento
Sobrepreço decorrente de quantitativo inadequado.,Sobrepreço
"Formalização de termo aditivo objetivando o reequilíbrio econômico-financeiro do contrato, fora das hipóteses legais.","Aditivos irregulares, injustificados ou não celebrados"
Projeto executivo deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
O orçamento não é acompanhado das composições de todos os custos unitários de seus serviços no Edital / Contrato / Aditivo.,Falha na composição dos custos expressos na planilha orçamentária
Projeto executivo deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Orçamento não acompanhado das composições de todos os custos unitários de seus serviços,Irregularidades na elaboração do ato convocatório
Reajuste em desacordo com o contrato.,"Aditivos irregulares, injustificados ou não celebrados"
Gestão de risco ineficiente em virtude da não adoção de medidas para garantir a prestação de serviço adequada,Ausência de efetividade da obra
Existência de atrasos injustificáveis nas obras e serviços.,Descumprimento do cronograma físico-financeiro do objeto
Deficiência na fiscalização/supervisão da obra - Fiscalização e/ou supervisão deficiente ou omissa.,Fiscalização contratual inexistente ou deficiente
Projeto básico/executivo sub ou superdimensionado.,"Projeto inexistente, deficiente ou desatualizado"
Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
Sobrepreço decorrente de quantitativo inadequado.,Sobrepreço
Realização de despesas em valores superiores às previsões obtidas a partir de parâmetros oficiais de referência.,Superfaturamento
Ausência de termo aditivo formalizando alterações das condições inicialmente pactuadas.,"Aditivos irregulares, injustificados ou não celebrados"
Ausência de termo aditivo formalizando alterações das condições inicialmente pactuadas.,"Aditivos irregulares, injustificados ou não celebrados"
Ausência de termo aditivo formalizando alterações das condições inicialmente pactuadas.,"Aditivos irregulares, injustificados ou não celebrados"
"Existência de creches concluídas que não se encontram em funcionamento, não atendendo a finalidade social prevista.",Ausência de efetividade da obra
Objeto do convênio/edital/contrato sem funcionalidade própria.,Inviabilidade do projeto
Prorrogação injustificada de prazo contratual.,"Aditivos irregulares, injustificados ou não celebrados"
"Perda potencial ou efetiva de serviços realizados, em face da não execução concomitante de serviços essenciais à integridade da obra.",Outras irregularidades na execução do contrato
Pagamento por serviços não previstos contratualmente.,Liquidação e/ou pagamento irregular da despesa
Licitação realizada sem contemplar os requisitos mínimos exigidos pela Lei 8.666/93.,Irregularidades na condução do procedimento licitatório
Julgamento ou classificação das propostas em desacordo com os critérios do edital ou da legislação.,Julgamento em desconformidade com o edital e com a legislação (habilitação e propostas)
Inadequação ou inexistência dos critérios de aceitabilidade de preços unitário e global.,Irregularidades na elaboração do ato convocatório
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Existência de atrasos injustificáveis nas obras e serviços.,Descumprimento do cronograma físico-financeiro do objeto
Licitação realizada sem contemplar os requisitos mínimos exigidos pela Lei 8.666/93.,Irregularidades na condução do procedimento licitatório
Superfaturamento decorrente de quantitativo inadequado.,Superfaturamento
Inobservância dos requisitos legais e técnicos de acessibilidade de pessoas portadoras de deficiência ou com mobilidade reduzida.,"Projeto inexistente, deficiente ou desatualizado"
Licitação realizada sem contemplar os requisitos mínimos exigidos pela Lei 8.666/93.,Irregularidades na condução do procedimento licitatório
Quantitativos inadequados na planilha orçamentária.,"Projeto inexistente, deficiente ou desatualizado"
Existência de atrasos injustificáveis nas obras e serviços.,Descumprimento do cronograma físico-financeiro do objeto
Existência de preços diferentes para o mesmo serviço.,Falha na composição dos custos expressos na planilha orçamentária
Orçamento do Edital / Contrato / Aditivo incompleto ou inadequado.,Falha na composição dos custos expressos na planilha orçamentária
Deficiência na apresentação das informações constantes da planilha orçamentária do Edital / Contrato / Aditivo.,Falha na composição dos custos expressos na planilha orçamentária
Ausência de cobrança pelo COB de atualização monetária sobre valores glosados nas prestações de contas de 2014 a 2016,Ausência ou inadequação das prestações de contas do convênio
Descumprimento de determinação exarada pelo TCU.,Descumprimento de determinação do TCU
Planilhas orçamentária sem sustentação em custo unitário,Falha na composição dos custos expressos na planilha orçamentária
O valor do convênio não cobre as despesas relativas à obra licitada ou é superior às despesas efetivas relacionadas à obra licitada.,Irregularidades na fase de proposição
Ausência de publicidade de atos do pregoeiro na ata do pregão.,Julgamento em desconformidade com o edital e com a legislação (habilitação e propostas)
Existência de atrasos que podem comprometer o prazo de entrega do empreendimento.,Descumprimento do cronograma físico-financeiro do objeto
Ausência de cláusulas essenciais no termo de convênio celebrado.,Irregularidades na formalização do convênio
Gestão temerária de empreendimento.,Gestão temerária
O Plano de Trabalho apresentado pelo Convenente não contém todos os requisitos exigidos pela legislação em vigor.,Irregularidades na fase de proposição
Falta de publicidade devida ao contrato/aditivo.,"Ausência de formalização, publicidade e/ou transparência do contrato"
Execução/pagamento de serviços não previstos no contrato - Pagamento por serviços não previstos contratualmente.,Liquidação e/ou pagamento irregular da despesa
Existência de atrasos injustificáveis nas obras e serviços.,Descumprimento do cronograma físico-financeiro do objeto
UNA - A.12.2.A  Equipamentos obrigatórios de segurança sem condições de uso ou com graves deficiências.,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
"Risco de alteração indevida da forma de execução de obra, em desconformidade com os requisitos legais.","Aditivos irregulares, injustificados ou não celebrados"
"Infração do DNIT às normas do edital, contrato e legislação pertinente ante os atrasos na entrega dos projetos pela Contratada, resultando o aumento do risco com a materialização de prejuízos decorrentes de atrasos e inexecução da obra.",Atraso ou paralisação da obra por ação ou omissão do gestor
Critério de reajuste inexistente ou inadequado.,Cláusulas essenciais imprecisas ou ausentes
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Restrição ao caráter competitivo da licitação - Julgamento e/ou classificação das propostas em desacordo com os critérios do edital e/ou da legislação.,Julgamento em desconformidade com o edital e com a legislação (habilitação e propostas)
Implantação de empreendimento sem realização de estudo de viabilidade técnica e econômico-financeira da obra.,Ausência de estudos capazes de comprovar a viabilidade do projeto
Inclusão inadequada de itens na composição do BDI.,Falha na composição dos custos expressos na planilha orçamentária
Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
"Desvio de objeto devido a alterações qualitativas (mudanças de projeto e de técnicas construtivas, modificações relevantes de materiais - tipo e qualidade).","Aditivos irregulares, injustificados ou não celebrados"
Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Anteprojeto de engenharia deficiente e/ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
BONITO - Pagamentos aos profissionais da educação básica a título de remuneração/abono com recursos dos precatórios do Fundef,Liquidação e/ou pagamento irregular da despesa
Obra licitada sem Licença Prévia.,"Ausência de licenças e autorizações necessárias à licitação, contratação, execução da obra ou funcionamento do empreendimento"
"Retenção/pagamento de tributos (contribuição previdênciária, IR, ISS, etc.) em desacordo com os percentuais previstos no BDI da contratada ou na legislação vigente.",Liquidação e/ou pagamento irregular da despesa
Impropriedades na execução do convênio,Irregularidades na execução do convênio
Restrição indevida ao caráter competitivo da licitação,Restrição à competitividade do certame
Restrição à competitividade da licitação decorrente de critérios inadequados de habilitação e julgamento.,Restrição à competitividade do certame
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Existência de atrasos injustificáveis nas obras e serviços.,Descumprimento do cronograma físico-financeiro do objeto
Sobrepreço - Sobrepreço decorrente de aumento inadequado de quantitativos.,Sobrepreço
Sinalização deficiente/ausente na BR-101/SE contribuindo para a insegurança viária,Ausência de condições adequadas de segurança das obras/rodovias
As disposições gerais para medição e pagamento nos contratos da Valec possuem inconsistências.,Gestão temerária
Licitação de obras sem previsão orçamentária ou com previsão insuficiente ou ilimitada.,Dotação orçamentária incompatível com a execução do objeto
O contrato não delimita adequadamente as possibilidades de aditivos ante o regime de contratação avençado.,Cláusulas essenciais imprecisas ou ausentes
Descumprimento de cláusulas contratuais.,Outras irregularidades na execução do contrato
Acréscimos ou supressões em percentual superior ao legalmente permitido.,"Aditivos irregulares, injustificados ou não celebrados"
"Sobrepreço - Sobrepreço decorrente de preços excessivos frente ao mercado (serviços, insumos e encargos).",Sobrepreço
A administração municipal não adotou providências para solucionar a paralisação.,Atraso ou paralisação da obra por ação ou omissão do gestor
Sobrepreço decorrente de quantitativo inadequado.,Sobrepreço
Critério de medição inadequado ou incompatível com o objeto real pretendido.,Cláusulas essenciais imprecisas ou ausentes
Dano ao erário decorrente de pagamentos sem cobertura documental.,Liquidação e/ou pagamento irregular da despesa
"Projeto básico/executivo deficiente ou inexistente - restrição à competitividade e/ou não-aproveitamento dos recursos disponíveis no mercado, em razão da não-divisão da obra ou serviço em parcelas economicamente viáveis.",Restrição à competitividade do certame
Licitação realizada sem contemplar os requisitos mínimos exigidos pela Lei 8.666/93.,Irregularidades na condução do procedimento licitatório
Impropriedades na execução do convênio,Irregularidades na execução do convênio
Alteração indevida do regime de execução.,"Aditivos irregulares, injustificados ou não celebrados"
Falhas relativas à publicidade do edital de licitação.,Irregularidades na condução do procedimento licitatório
Impropriedades na execução do convênio,Irregularidades na execução do convênio
Obra licitada sem Licença Prévia.,"Ausência de licenças e autorizações necessárias à licitação, contratação, execução da obra ou funcionamento do empreendimento"
Projeto básico/executivo deficiente ou inexistente - Deficiência do projeto básico ou projeto básico desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
"Ausência, no edital, de critério de aceitabilidade de preços máximos - Inadequação ou inexistência dos critérios de aceitabilidade de preços unitário e global.",Irregularidades na elaboração do ato convocatório
Falta de retenção da garantia prevista na Lei 8.666/93.,Garantia contratual inexistente
Existência de atrasos na liberação de recursos pelo Ministério das Cidades.,Atraso ou paralisação da obra por ação ou omissão do gestor
Descumprimento de determinação exarada pelo TCU.,Descumprimento de determinação do TCU
Demais falhas na administração do contrato ou demais irregularidades graves na administrção do contrato - Termo aditivo assinado após o término da vigência do contrato.,"Aditivos irregulares, injustificados ou não celebrados"
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Estudo de viabilidade técnica e econômico-financeira deficiente.,Ausência de estudos capazes de comprovar a viabilidade do projeto
Fragilidade ou deficiência na fase preparatória de licitação do RDC,Irregularidades na condução do procedimento licitatório
Alteração injustificada de quantitativos.,"Aditivos irregulares, injustificados ou não celebrados"
Inobservância dos requisitos legais e técnicos de acessibilidade de pessoas portadoras de deficiência ou com mobilidade reduzida.,"Projeto inexistente, deficiente ou desatualizado"
Fiscalização ou supervisão deficiente ou omissa.,Fiscalização contratual inexistente ou deficiente
Inconsistência no processo de seleção do empreendimento,Processo de desapropriação inexistente ou deficiente
Sobrepreço decorrente de quantitativo inadequado.,Sobrepreço
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Existência de atrasos injustificáveis nas obras e serviços.,Descumprimento do cronograma físico-financeiro do objeto
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Fiscalização ou supervisão deficiente ou omissa.,Fiscalização contratual inexistente ou deficiente
Projeto executivo sem aprovação pela autoridade competente.,Ausência de aprovação do projeto pela autoridade competente
Inadequação ou inexistência dos critérios de aceitabilidade de preços unitário e global.,Irregularidades na elaboração do ato convocatório
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
As condicionantes da Licença Prévia não estão sendo atendidas.,"Ausência de licenças e autorizações necessárias à licitação, contratação, execução da obra ou funcionamento do empreendimento"
